n_samples,train_macro_f1,val_macro_f1,seconds
20000,0.9998594774364382,0.8736280342256949,3.541
39999,0.9989838571601213,0.9094976924759689,5.825
60000,0.997215412335088,0.9374520928309611,8.318
80000,0.9972234025420066,0.9391019926455288,10.267
