model_key,display_name,family,is_selected,source_file,accuracy,macro_f1,weighted_f1,fit_seconds,val_accuracy,val_macro_f1,val_weighted_f1,classifier,validity_flag,report_note
bert_gpu,BERT / MacBERT GPU,bert_gpu,True,outputs/bert/bert_summary.json,0.99815,0.9971134080134445,0.9981493959719986,,,,,,very_high_metric,指标接近满分；若使用关键词弱标签，应解释为弱标签拟合效果，不代表真实心理诊断准确率
best_traditional_ml,"Best traditional ML
(sgd_hinge_alpha_1e-5_ngram_2_3)",traditional_ml_best,True,outputs/baseline/baseline_summary.json,0.9682904533531173,0.9482770607674111,0.9684190990363543,5.587,,0.9423755367091472,,,high_metric,传统模型指标很高；通常说明标签规则/关键词特征较强，报告中需说明任务边界
baseline::sgd_hinge_alpha_1e-5_ngram_2_3,sgd_hinge_alpha_1e-5_ngram_2_3,traditional_ml_candidate,True,outputs/baseline/baseline_summary.json,0.9656606873161814,0.9437450423500346,0.9658530613856482,4.659,0.9657,0.9423755367091472,0.9659320614218688,SGDClassifier,high_metric,传统模型指标很高；通常说明标签规则/关键词特征较强，报告中需说明任务边界
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,traditional_ml_candidate,False,outputs/baseline/baseline_summary.json,0.9651771283219841,0.9381043925822515,0.9649838274611333,4.591,0.96405,0.9364314297185565,0.9638761571017983,SGDClassifier,ok,指标正常记录，未做人工改值
baseline::sgd_log_loss_alpha_1e-5_ngram_2_3,sgd_log_loss_alpha_1e-5_ngram_2_3,traditional_ml_candidate,False,outputs/baseline/baseline_summary.json,0.9333483479505048,0.9032081541477699,0.9331333116702486,4.793,0.93305,0.9001829925777227,0.9329205835594334,SGDClassifier,ok,指标正常记录，未做人工改值
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,traditional_ml_candidate,False,outputs/baseline/baseline_summary.json,0.7563127633078085,0.724945903530616,0.756745945028092,4.929,0.7552,0.7200902034876969,0.7555797641272007,ComplementNB,ok,指标正常记录，未做人工改值
baseline::dummy_most_frequent,dummy_most_frequent,traditional_ml_candidate,False,outputs/baseline/baseline_summary.json,0.4528894305927241,0.06927030616928216,0.28234610566190876,0.082,,,,,class_imbalance_sensitive,Accuracy 明显高于 Macro-F1，类别不均衡影响较大
