model_key,display_name,label,precision,recall,f1,support
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,other,0.9789836843240135,0.996094778411584,0.9874651103780766,68370.0
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,relationship,0.9224103977944073,0.8927005908137984,0.9073123486682809,5247.0
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,self_growth,0.9504795663052544,0.9476145930776426,0.9490449175037735,9621.0
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,sleep_body,0.8422837761447145,0.8142076502732241,0.8280077799388719,1830.0
baseline::sgd_modified_huber_alpha_1e-5_ngram_2_3,sgd_modified_huber_alpha_1e-5_ngram_2_3,study_work,0.9259401750504953,0.9352049737711288,0.9305495142815717,10294.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,emotion,0.7427014520989984,0.7855808861411644,0.7635396291370002,31056.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,family,0.6200396825396826,0.7356088166060347,0.6728981109914848,9346.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,high_risk,0.8662142510906446,0.9759694156198798,0.9178222907036466,1831.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,interpersonal,0.7414405562693674,0.7337871194554566,0.737593984962406,13369.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,other,0.8192830426818944,0.7785285944127541,0.7983860685920848,68370.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,relationship,0.5955987880720778,0.7118353344768439,0.6485500955026915,5247.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,self_growth,0.773247696174253,0.5756158403492361,0.6599535243996901,9621.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,sleep_body,0.7706495589414595,0.5251366120218579,0.6246343841403965,1830.0
baseline::complement_nb_alpha_0.2_ngram_2_3,complement_nb_alpha_0.2_ngram_2_3,study_work,0.6492055610724925,0.7620944239362736,0.7011350433461435,10294.0
bert_gpu,BERT / MacBERT GPU,emotion,0.9988597491448119,0.9985750926189798,0.9987174005985464,3509.0
bert_gpu,BERT / MacBERT GPU,family,0.9941444372153546,0.9954397394136808,0.9947916666666666,1535.0
bert_gpu,BERT / MacBERT GPU,high_risk,1.0,0.986857825567503,0.9933854479855683,837.0
bert_gpu,BERT / MacBERT GPU,interpersonal,0.9978666666666667,0.9973347547974414,0.9976006398293789,1876.0
bert_gpu,BERT / MacBERT GPU,other,0.9998577120091064,0.9997154645041969,0.9997865831969837,7029.0
bert_gpu,BERT / MacBERT GPU,relationship,0.993085566119274,0.9973958333333334,0.9952360329146817,1152.0
bert_gpu,BERT / MacBERT GPU,self_growth,0.9993753903810119,0.9987515605493134,0.9990633780830471,1602.0
bert_gpu,BERT / MacBERT GPU,sleep_body,0.9963985594237695,1.0,0.9981960312687913,830.0
bert_gpu,BERT / MacBERT GPU,study_work,0.9957186544342508,0.9987730061349693,0.9972434915773354,1630.0
