model,accuracy,precision_macro,recall_macro,f1_macro
baseline_dummy,0.1111111111111111,0.013888888888888888,0.125,0.025
logistic_regression,0.1111111111111111,0.041666666666666664,0.0625,0.05
linear_svm,0.1111111111111111,0.041666666666666664,0.0625,0.05
random_forest,0.2222222222222222,0.05,0.125,0.07142857142857142
